"infinitive","participle_II","translation","mistakes"
"erlöschen","ist erloschen","apagarse, extinguirse, prescribir, desaparecer",12
"ermitteln","hat ermittelt","determinar, calcular, averiguar, investigar",1
"erschrecken","hat/ist erschrocken","asustar",9
"erschrecken über/vor","hat/ist erschrocken","asustarse de, espantarse de",10
"erwachsen","ist erwachsen","crecer",1
"erwachsen aus","ist erwachsen","surgir de, originarse de",1
"essen","hat gegessen","comer",7
"fahren","hat/ist gefahren","conducir, viajar, ir en, pasar",7
"fahren nach","hat/ist gefahren","ir a",9
"fallen","ist gefallen","caer, bajar, descender",10
"fallen auf an","ist gefallen","recaer sobre en",10
"fangen","hat gefangen","coger, atrapar, cazar, pescar",10
"finden","hat gefunden","encontrar, dar con, opinar",5
"sich finden","hat gefunden","aparecer, arreglarse",5
"flechten","hat geflochten","trenzar, tejer",10
"fliegen","hat/ist geflogen","volar, ir en avion",10
"fliehen vor","ist geflohen","huir de, escaparse de, refugiarse",9
"fließen","ist geflossen","fluir, correr, salir, surgir",12
"fressen","hat gefressen","comer (animales), tragar, devorar, alimentar",10
"freuen","hat gefreut","alegrar, complacer",1
"sich freuen","hat gefreut","alegrarse",1
"frieren","hat/ist gefroren","tener frío, helarse, helar",8
"frühstücken","hat gefrühstückt","desayunar",1
"geben","hat gegeben","dar, entregar, regalar, repartir",9
"gebären","hat geboren","dar a luz, parir, alumbrar",13
"gedeihen","ist gediehen","crecer, darse bien, avanzar, prosperar",9
"gehen","hat/ist gegangen","ir, andar, caminar, irse",8
"gelingen","ist gelungen","tener exito, lograr, conseguir",11
"gelten","hat gegolten","ser válido, estar vigente, ser aplicable, referirse a",12
"gelten für","hat gegolten","valer para",12
"gelten als","hat gegolten","pasar por, ser considerado como",12
"genesen von","ist genesen","convalecer, sanar de, restablecerse",10
"genießen","hat genossen","disfrutar de, gozar de, saborear",11
"geraten","ist geraten","salir bien",9
"geraten nach","ist geraten","llegar a, ir a parar a",9
"geschehen","ist geschehen","suceder, pasar, ocurrir",10
"gewinnen","hat gewonnen","ganar, obtener, vencer",11
"gießen","hat gegossen","regar, fundir, moldear, servir",11
"gleichen","hat geglichen","igualarse, parecerse a",9
"gleiten","hat/ist geglitten","resbalar, planear, deslizarse",9
"gleiten über","hat/ist geglitten","resbalar por/sobre, pasar por, deslizarse por",9
"graben","hat gegraben","cavar, buscar, extraer, abrir",8
"greifen","hat gegriffen","coger, asir, agarrar, adherir",6
"grillen","hat gegrillt","asar",1
"gären","hat/ist gegoren/gegärt","fermentar, cocer",10
"haben","hat gehabt","tener, haber",10
"halten","hat gehalten","mantener, parar, detener, sostener",9
"hantieren mit","hat hantiert","ocuparse de, trabajar con",1
"heben","hat gehoben","elevar, levantar, alzar, aumentar",5
"sich heben","hat gehoben","levantarse",5
"heißen","hat geheißen","llamarse, significar, decir, llamar",7
"helfen bei","hat geholfen","ayudar en",1
"helfen gegen","hat geholfen","ser bueno para",1
"helfen","hat geholfen","ayudar, auxiliar, asistir, servir",8
"hinzufügen zu","hat hinzugefügt","añadir, agregar",1
"hängen","hat gehangen","colgar, fijar, enganchar, ahorcar",7
"hängen an","hat gehangen","colgar de/en, pender de",7
"ignorieren","hat ignoriert","ignorar",1
"impfen","hat geimpft","vacunar, vacunarse",1
"interessieren","hat interessiert","interesar",1
"interessieren für","hat interessiert","interesarse por",1
"kennen","hat gekannt","conocer, saber",8
"kleiden","hat gekleidet","vestir, vestirse",1
"klingen","hat geklungen","sonar",8
"kneifen","hat gekniffen","apretar",11
"kneifen in","hat gekniffen","pellizcar",11
"kochen","hat gekocht","cocinar, hervir, guisar, cocer",1
"kommen","ist gekommen","venir, llegar, suceder, pasar",9
"kommen aus","ist gekommen","venir de, ser de",1
"kommen von","ist gekommen","volver de",1
"kommen zu","ist gekommen","acercarse a, acudir a",1
"kriechen","hat/ist gekrochen","arrastrarse, reptar, deslizarse",14
"können","hat gekonnt","poder(capacidad), ser posible, poder (hacer)",6
"kümmern","hat gekümmert","importar, interesar",1
"sich kümmern","hat gekümmert","encargarse, responsabilizarse, atender, resolver",1
"sich kümmern um","hat gekümmert","cuidar de, mirar por, preocuparse de, ocuparse de",1
"laden","hat geladen","cargar",7
"lassen","hat gelassen","dejar",7
"laufen","hat/ist gelaufen","correr, andar, caminar, funcionar",1
"leiden","hat gelitten","sufrir, padecer",10
"leihen","hat geliehen","prestar",15
"lesen","hat gelesen","leer",10
"liegen","hat gelegen","estar tumbado, estar acostado, yacer",7
"lügen","hat gelogen","mentir",8
"machen","hat/ist gemacht","hacer, realizar, organizar, llevar a cabo",1
"mahlen","hat gemahlen","moler",10
"meiden","hat gemieden","evitar, rehuir",13
"melken","hat gemolken","ordeñar",13
"messen","hat gemessen","medir",6
"sich messen","hat gemessen","medirse",6
"multiplizieren mit","hat multipliziert","multiplicar por",1
"mögen","hat gemocht","gustar, querer, desear, preferir",9
"müssen","hat gemusst","deber(obligación), tener que, hay que",9
"nachdenken über","hat nachgedacht","reflexionar sobre, pensar en",1
"nachfragen","hat nachgefragt","solicitar, preguntar, demandar",1
"nachfragen wegen","hat nachgefragt","preguntar por",1
"nehmen","hat genommen","coger, tomar, apoderarse",9
"nennen","hat genannt","nombrar, llamar, decir,mencionar",7
"pfeifen","hat gepfiffen","silbar",9
"preisen","hat gepriesen","alabar, elogiar, ensalzar",11
"protestieren","hat protestiert","protestar",1
"protzen mit","hat geprotzt","presumir de",1
"quellen","ist gequollen","manar, fluir, surgir, proceder",10
"raten","hat geraten","aconsejar, recomendar, adivinar, sugerir",9
"rechnen","hat gerechnet","calcular, economizar",1
"rechnen mit/auf","hat gerechnet","contar con",1
"reden","hat geredet","hablar",1
"reden mit","hat geredet","hablar con",1
"reden über","hat geredet","hablar sobre",1
"regeln","hat geregelt","regular, fijar, arreglar, reglamentar",10
"reiben","hat gerieben","frotar, restregar, untar, rallar",21
"sich reiben","hat gerieben","arañarse",21
"reiten","hat/ist geritten","cabalgar, montar, ",10
"reißen","hat gerissen","romperse, desgarrarse, tirar, arrastrar",13
"rennen","ist gerannt","correr",9
"riechen","hat gerochen","oler",12
"riechen nach","hat gerochen","oler a",12
